report_id,prompt_id,prompt_name,trial,from_date,to_date,date_window,report_text,generation_mode
A_011,A,Evidence-first newsroom brief,11,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"For 2026-03-01 to 2026-05-05, The Guardian Open Platform dashboard counted 240 articles across the United Kingdom, United States, India, Brazil, and Japan. The United Kingdom received 90 articles and Japan received 18, creating a 5.0x raw coverage gap. Politics and crisis coverage dominated the topic pattern. Editors could use this as a planning signal by reviewing lower-coverage countries, while treating article volume as an attention measure rather than proof of impact.",fixtures
A_012,A,Evidence-first newsroom brief,12,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"## Guardian Coverage Brief

From 2026-03-01 to 2026-05-05, The Guardian dashboard tracked 240 articles across the United Kingdom, United States, India, Brazil, and Japan. The United Kingdom led raw coverage with 90 articles, while Japan had 18, a 5.0x gap. The per-capita view also ranked the United Kingdom highest at 1.32 articles per 1M people, while India was lowest at 0.02. Politics and crisis coverage dominated the topic mix. Editors should review whether lower-coverage countries need planned follow-up, while noting that article counts measure attention, not impact.",fixtures
B_001,B,Concise executive summary,1,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"Coverage was not evenly distributed. The United Kingdom had 90 Guardian articles, more than any other country in the dashboard. The pattern may be useful for a quick editorial check, though more detail would be needed for a full analysis.",fixtures
B_002,B,Concise executive summary,2,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian coverage summary shows uneven attention across countries. For 2026-03-01 to 2026-05-05, the dashboard found 240 articles, with the United Kingdom receiving the most coverage. This suggests editors may want to examine geographic balance in future work.",fixtures
B_003,B,Concise executive summary,3,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"Coverage was not evenly distributed. The United Kingdom had 90 Guardian articles, more than any other country in the dashboard. The pattern may be useful for a quick editorial check, though more detail would be needed for a full analysis.",fixtures
B_004,B,Concise executive summary,4,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian coverage summary shows uneven attention across countries. For 2026-03-01 to 2026-05-05, the dashboard found 240 articles, with the United Kingdom receiving the most coverage. This suggests editors may want to examine geographic balance in future work.",fixtures
B_005,B,Concise executive summary,5,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"Coverage was not evenly distributed. The United Kingdom had 90 Guardian articles, more than any other country in the dashboard. The pattern may be useful for a quick editorial check, though more detail would be needed for a full analysis.",fixtures
B_006,B,Concise executive summary,6,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian coverage summary shows uneven attention across countries. For 2026-03-01 to 2026-05-05, the dashboard found 240 articles, with the United Kingdom receiving the most coverage. This suggests editors may want to examine geographic balance in future work.",fixtures
B_007,B,Concise executive summary,7,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"Coverage was not evenly distributed. The United Kingdom had 90 Guardian articles, more than any other country in the dashboard. The pattern may be useful for a quick editorial check, though more detail would be needed for a full analysis.",fixtures
B_008,B,Concise executive summary,8,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian coverage summary shows uneven attention across countries. For 2026-03-01 to 2026-05-05, the dashboard found 240 articles, with the United Kingdom receiving the most coverage. This suggests editors may want to examine geographic balance in future work.",fixtures
B_009,B,Concise executive summary,9,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"Coverage was not evenly distributed. The United Kingdom had 90 Guardian articles, more than any other country in the dashboard. The pattern may be useful for a quick editorial check, though more detail would be needed for a full analysis.",fixtures
B_010,B,Concise executive summary,10,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian coverage summary shows uneven attention across countries. For 2026-03-01 to 2026-05-05, the dashboard found 240 articles, with the United Kingdom receiving the most coverage. This suggests editors may want to examine geographic balance in future work.",fixtures
B_011,B,Concise executive summary,11,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"Coverage was not evenly distributed. The United Kingdom had 90 Guardian articles, more than any other country in the dashboard. The pattern may be useful for a quick editorial check, though more detail would be needed for a full analysis.",fixtures
B_012,B,Concise executive summary,12,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian coverage summary shows uneven attention across countries. For 2026-03-01 to 2026-05-05, the dashboard found 240 articles, with the United Kingdom receiving the most coverage. This suggests editors may want to examine geographic balance in future work.",fixtures
C_001,C,Narrative opinion style,1,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"World coverage is a mirror of power. Some countries dominate the news cycle, while others nearly disappear. The pattern feels like a warning about media bias and the unequal geography of public concern.",fixtures
C_002,C,Narrative opinion style,2,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian's global gaze tells a dramatic story of attention and neglect. Britain stands at the center, while distant countries fade into the margins. This may reveal how global media power decides which places matter and which are forgotten.",fixtures
C_003,C,Narrative opinion style,3,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"World coverage is a mirror of power. Some countries dominate the news cycle, while others nearly disappear. The pattern feels like a warning about media bias and the unequal geography of public concern.",fixtures
C_004,C,Narrative opinion style,4,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian's global gaze tells a dramatic story of attention and neglect. Britain stands at the center, while distant countries fade into the margins. This may reveal how global media power decides which places matter and which are forgotten.",fixtures
C_005,C,Narrative opinion style,5,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"World coverage is a mirror of power. Some countries dominate the news cycle, while others nearly disappear. The pattern feels like a warning about media bias and the unequal geography of public concern.",fixtures
C_006,C,Narrative opinion style,6,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian's global gaze tells a dramatic story of attention and neglect. Britain stands at the center, while distant countries fade into the margins. This may reveal how global media power decides which places matter and which are forgotten.",fixtures
C_007,C,Narrative opinion style,7,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"World coverage is a mirror of power. Some countries dominate the news cycle, while others nearly disappear. The pattern feels like a warning about media bias and the unequal geography of public concern.",fixtures
C_008,C,Narrative opinion style,8,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian's global gaze tells a dramatic story of attention and neglect. Britain stands at the center, while distant countries fade into the margins. This may reveal how global media power decides which places matter and which are forgotten.",fixtures
C_009,C,Narrative opinion style,9,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"World coverage is a mirror of power. Some countries dominate the news cycle, while others nearly disappear. The pattern feels like a warning about media bias and the unequal geography of public concern.",fixtures
C_010,C,Narrative opinion style,10,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian's global gaze tells a dramatic story of attention and neglect. Britain stands at the center, while distant countries fade into the margins. This may reveal how global media power decides which places matter and which are forgotten.",fixtures
C_011,C,Narrative opinion style,11,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"World coverage is a mirror of power. Some countries dominate the news cycle, while others nearly disappear. The pattern feels like a warning about media bias and the unequal geography of public concern.",fixtures
C_012,C,Narrative opinion style,12,2026-03-01,2026-05-05,2026-03-01 to 2026-05-05,"The Guardian's global gaze tells a dramatic story of attention and neglect. Britain stands at the center, while distant countries fade into the margins. This may reveal how global media power decides which places matter and which are forgotten.",fixtures
